Length(mm) ,Width(mm),Freq (GHz),S11(dB)
2.711,3.394,34.77,-28.10068
2.71,3.3929,34.78,-28.13357
2.709,3.3918,34.79,-28.16646
2.708,3.3906,34.8,-28.19935
2.708,3.3895,34.81,-28.23224
2.707,3.3884,34.82,-28.26513
2.706,3.3873,34.83,-28.29802
2.705,3.3862,34.84,-28.33091
2.704,3.385,34.85,-28.3638
2.703,3.3839,34.86,-28.39669
2.702,3.3828,34.87,-28.42958
2.701,3.3817,34.88,-28.46247
2.7,3.3805,34.89,-28.49536
2.699,3.3794,34.9,-28.52825
2.698,3.3783,34.91,-28.56114
2.697,3.3772,34.92,-28.59403
2.696,3.376,34.93,-28.62692
2.695,3.3749,34.94,-28.65981
2.694,3.3738,34.95,-28.6927
2.693,3.3727,34.96,-28.72559
2.692,3.3716,34.97,-28.75848
2.691,3.3704,34.98,-28.79137
2.69,3.3693,34.99,-28.82426
2.689,3.3682,35,-28.85715
2.688,3.3671,35.01,-28.89004
2.687,3.3659,35.02,-28.92293
2.686,3.3648,35.03,-28.95582
2.685,3.3637,35.04,-28.98871
2.684,3.3626,35.05,-29.0216
2.683,3.3615,35.06,-29.05449
2.682,3.3603,35.07,-29.08738
2.681,3.3592,35.08,-29.12027
2.68,3.3581,35.09,-29.15316
2.679,3.357,35.1,-29.18605
2.678,3.3558,35.11,-29.21894
2.677,3.3547,35.12,-29.25183
2.677,3.3536,35.13,-29.28472
2.676,3.3525,35.14,-29.31761
2.675,3.3514,35.15,-29.3505
2.674,3.3502,35.16,-29.38339
2.673,3.3491,35.17,-29.41628
2.672,3.348,35.18,-29.44917
2.671,3.3469,35.19,-29.48206
2.67,3.3457,35.2,-29.51495
2.669,3.3446,35.21,-29.54784
2.668,3.3435,35.22,-29.58073
2.667,3.3424,35.23,-29.61362
2.666,3.3413,35.24,-29.64651
2.665,3.3401,35.25,-29.6794
2.664,3.339,35.26,-29.71229
2.663,3.3379,35.27,-29.74518
2.662,3.3368,35.28,-29.77807
2.661,3.3356,35.29,-29.81096
2.66,3.3345,35.3,-29.84385
2.659,3.3334,35.31,-29.87674
2.658,3.3323,35.32,-29.90963
2.657,3.3312,35.33,-29.94252
2.656,3.33,35.34,-29.97541
2.655,3.3289,35.35,-30.0083
2.654,3.3278,35.36,-30.04119
2.653,3.3267,35.37,-30.07408
2.652,3.3255,35.38,-30.10697
2.651,3.3244,35.39,-30.13986
2.65,3.3233,35.4,-30.17275
2.649,3.3222,35.41,-30.20564
2.648,3.3211,35.42,-30.23853
2.647,3.3199,35.43,-30.27142
2.646,3.3188,35.44,-30.30431
2.646,3.3177,35.45,-30.3372
2.645,3.3166,35.46,-30.37009
2.644,3.3154,35.47,-30.40298
2.643,3.3143,35.48,-30.43587
2.642,3.3132,35.49,-30.46876
2.641,3.3121,35.5,-30.50165
2.64,3.311,35.51,-30.53454
2.639,3.3098,35.52,-30.56743
2.638,3.3087,35.53,-30.60032
2.637,3.3076,35.54,-30.63321
2.636,3.3065,35.55,-30.6661
2.635,3.3053,35.56,-30.69899
2.634,3.3042,35.57,-30.73188
2.633,3.3031,35.58,-30.76477
2.632,3.302,35.59,-30.79766
2.631,3.3009,35.6,-30.83055
2.63,3.2997,35.61,-30.86344
2.629,3.2986,35.62,-30.89633
2.628,3.2975,35.63,-30.92922
2.627,3.2964,35.64,-30.96211
2.626,3.2952,35.65,-30.995
2.625,3.2941,35.66,-31.02789
2.624,3.293,35.67,-31.06078
2.623,3.2919,35.68,-31.09367
2.622,3.2908,35.69,-31.12656
2.621,3.2896,35.7,-31.15945
2.62,3.2885,35.71,-31.19234
2.619,3.2874,35.72,-31.22523
2.618,3.2863,35.73,-31.25812
2.617,3.2851,35.74,-31.29101
2.616,3.284,35.75,-31.3239
2.615,3.2829,35.76,-31.35679
2.615,3.2818,35.77,-31.38968
2.614,3.2806,35.78,-31.42257
2.613,3.2795,35.79,-31.45546
2.612,3.2784,35.8,-31.48835
2.611,3.2773,35.81,-31.52124
2.61,3.2762,35.82,-31.55413
2.609,3.275,35.83,-31.58702
2.608,3.2739,35.84,-31.61991
2.607,3.2728,35.85,-31.6528
2.606,3.2717,35.86,-31.68569
2.605,3.2705,35.87,-31.71858
2.604,3.2694,35.88,-31.75147
2.603,3.2683,35.89,-31.78436
2.602,3.2672,35.9,-31.81725
2.601,3.2661,35.91,-31.85014
2.6,3.2649,35.92,-31.88303
2.599,3.2638,35.93,-31.91592
2.598,3.2627,35.94,-31.94881
2.597,3.2616,35.95,-31.9817
2.596,3.2604,35.96,-32.01459
2.595,3.2593,35.97,-32.04748
2.594,3.2582,35.98,-32.08037
2.593,3.2571,35.99,-32.11326
2.592,3.256,36,-32.14615
2.591,3.2548,36.01,-32.17904
2.59,3.2537,36.02,-32.21193
2.589,3.2526,36.03,-32.24482
2.588,3.2515,36.04,-32.27771
2.587,3.2503,36.05,-32.3106
2.586,3.2492,36.06,-32.34349
2.585,3.2481,36.07,-32.37638
2.584,3.247,36.08,-32.40927
2.584,3.2459,36.09,-32.44216
2.583,3.2447,36.1,-32.47505
2.582,3.2436,36.11,-32.50794
2.581,3.2425,36.12,-32.54083
2.58,3.2414,36.13,-32.57372
2.579,3.2402,36.14,-32.60661
2.578,3.2391,36.15,-32.6395
2.577,3.238,36.16,-32.67239
2.576,3.2369,36.17,-32.70528
2.575,3.2358,36.18,-32.73817
2.574,3.2346,36.19,-32.77106
2.573,3.2335,36.2,-32.80395
2.572,3.2324,36.21,-32.83684
2.571,3.2313,36.22,-32.86973
2.57,3.2301,36.23,-32.90262
2.569,3.229,36.24,-32.93551
2.568,3.2279,36.25,-32.9684
2.567,3.2268,36.26,-33.00129
2.566,3.2257,36.27,-33.03418
2.565,3.2245,36.28,-33.06707
2.564,3.2234,36.29,-33.09996
2.563,3.2223,36.3,-33.13285
2.562,3.2212,36.31,-33.16574
2.561,3.22,36.32,-33.19863
2.56,3.2189,36.33,-33.23152
2.559,3.2178,36.34,-33.26441
2.558,3.2167,36.35,-33.2973
2.557,3.2156,36.36,-33.33019
2.556,3.2144,36.37,-33.36308
2.555,3.2133,36.38,-33.39597
2.554,3.2122,36.39,-33.42886
2.553,3.2111,36.4,-33.46175
2.553,3.2099,36.41,-33.49464
2.552,3.2088,36.42,-33.52753
2.551,3.2077,36.43,-33.56042
2.55,3.2066,36.44,-33.59331
2.549,3.2055,36.45,-33.6262
2.548,3.2043,36.46,-33.65909
2.547,3.2032,36.47,-33.69198
2.546,3.2021,36.48,-33.72487
2.545,3.201,36.49,-33.75776
2.544,3.1998,36.5,-33.79065
2.543,3.1987,36.51,-33.82354
2.542,3.1976,36.52,-33.85643
2.541,3.1965,36.53,-33.88932
2.54,3.1953,36.54,-33.92221
2.539,3.1942,36.55,-33.9551
2.538,3.1931,36.56,-33.98799
2.537,3.192,36.57,-34.02088
2.536,3.1909,36.58,-34.05377
2.535,3.1897,36.59,-34.08666
2.534,3.1886,36.6,-34.11955
2.533,3.1875,36.61,-34.15244
2.532,3.1864,36.62,-34.18533
2.531,3.1852,36.63,-34.21822
2.53,3.1841,36.64,-34.25111
2.529,3.183,36.65,-34.284
2.528,3.1819,36.66,-34.31689
2.527,3.1808,36.67,-34.34978
2.526,3.1796,36.68,-34.38267
2.525,3.1785,36.69,-34.41556
2.524,3.1774,36.7,-34.44845
2.523,3.1763,36.71,-34.48134
2.522,3.1751,36.72,-34.51423
2.522,3.174,36.73,-34.54712
2.521,3.1729,36.74,-34.58001
2.52,3.1718,36.75,-34.6129
2.519,3.1707,36.76,-34.64579
2.518,3.1695,36.77,-34.67868
2.517,3.1684,36.78,-34.71157
2.516,3.1673,36.79,-34.74446
2.515,3.1662,36.8,-34.77735
2.514,3.165,36.81,-34.81024
2.513,3.1639,36.82,-34.84313
2.512,3.1628,36.83,-34.87602
2.511,3.1617,36.84,-34.90891
2.51,3.1606,36.85,-34.9418
2.509,3.1594,36.86,-34.97469
2.508,3.1583,36.87,-35.00758
2.507,3.1572,36.88,-35.04047
2.506,3.1561,36.89,-35.07336
2.505,3.1549,36.9,-35.10625
2.504,3.1538,36.91,-35.13914
2.503,3.1527,36.92,-35.17203
2.502,3.1516,36.93,-35.20492
2.501,3.1505,36.94,-35.23781
2.5,3.1493,36.95,-35.2707
2.499,3.1482,36.96,-35.30359
2.498,3.1471,36.97,-35.33648
2.497,3.146,36.98,-35.36937
2.496,3.1448,36.99,-35.40226
2.495,3.1437,37,-35.43515
2.494,3.1426,37.01,-35.46804
2.493,3.1415,37.02,-35.50093
2.492,3.1404,37.03,-35.53382
2.491,3.1392,37.04,-35.56671
2.491,3.1381,37.05,-35.5996
2.49,3.137,37.06,-35.63249
2.489,3.1359,37.07,-35.66538
2.488,3.1347,37.08,-35.69827
2.487,3.1336,37.09,-35.73116
2.486,3.1325,37.1,-35.76405
2.485,3.1314,37.11,-35.79694
2.484,3.1303,37.12,-35.82983
2.483,3.1291,37.13,-35.86272
2.482,3.128,37.14,-35.89561
2.481,3.1269,37.15,-35.9285
2.48,3.1258,37.16,-35.96139
2.479,3.1246,37.17,-35.99428
2.478,3.1235,37.18,-36.02717
2.477,3.1224,37.19,-36.06006
2.476,3.1213,37.2,-36.09295
2.475,3.1202,37.21,-36.12584
2.474,3.119,37.22,-36.15873
2.473,3.1179,37.23,-36.19162
2.472,3.1168,37.24,-36.22451
2.471,3.1157,37.25,-36.2574
2.47,3.1145,37.26,-36.29029
2.469,3.1134,37.27,-36.32318
2.468,3.1123,37.28,-36.35607
2.467,3.1112,37.29,-36.38896
2.466,3.1101,37.3,-36.42185
2.465,3.1089,37.31,-36.45474
2.464,3.1078,37.32,-36.48763
2.463,3.1067,37.33,-36.52052
2.462,3.1056,37.34,-36.55341
2.461,3.1044,37.35,-36.5863
2.46,3.1033,37.36,-36.61919
2.46,3.1022,37.37,-36.65208
2.459,3.1011,37.38,-36.68497
2.458,3.0999,37.39,-36.71786
2.457,3.0988,37.4,-36.75075
2.456,3.0977,37.41,-36.78364
2.455,3.0966,37.42,-36.81653
2.454,3.0955,37.43,-36.84942
2.453,3.0943,37.44,-36.88231
2.452,3.0932,37.45,-36.9152
2.451,3.0921,37.46,-36.94809
2.45,3.091,37.47,-36.98098
2.449,3.0898,37.48,-37.01387
2.448,3.0887,37.49,-37.04676
2.447,3.0876,37.5,-37.07965
2.446,3.0865,37.51,-37.11254
2.445,3.0854,37.52,-37.14543
2.444,3.0842,37.53,-37.17832
2.443,3.0831,37.54,-37.21121
2.442,3.082,37.55,-37.2441
2.441,3.0809,37.56,-37.27699
2.44,3.0797,37.57,-37.30988
2.439,3.0786,37.58,-37.34277
2.438,3.0775,37.59,-37.37566
2.437,3.0764,37.6,-37.40855
2.436,3.0753,37.61,-37.44144
2.435,3.0741,37.62,-37.47433
2.434,3.073,37.63,-20.01675
2.433,3.0719,37.64,-20.04964
2.432,3.0708,37.65,-20.08253
2.431,3.0696,37.66,-20.11542
2.43,3.0685,37.67,-20.14831
2.429,3.0674,37.68,-20.1812
2.428,3.0663,37.69,-20.21409
2.428,3.0652,37.7,-20.24698
2.427,3.064,37.71,-20.27987
2.426,3.0629,37.72,-20.31276
2.425,3.0618,37.73,-20.34565
2.424,3.0607,37.74,-20.37854
2.423,3.0595,37.75,-20.41143
2.422,3.0584,37.76,-20.44432
2.421,3.0573,37.77,-20.47721
2.42,3.0562,37.78,-20.5101
2.419,3.0551,37.79,-20.54299
2.418,3.0539,37.8,-20.57588
2.417,3.0528,37.81,-20.60877
2.416,3.0517,37.82,-20.64166
2.415,3.0506,37.83,-20.67455
2.414,3.0494,37.84,-20.70744
2.413,3.0483,37.85,-20.74033
2.412,3.0472,37.86,-20.77322
2.411,3.0461,37.87,-20.80611
2.41,3.045,37.88,-20.839
2.409,3.0438,37.89,-20.87189
2.408,3.0427,37.9,-20.90478
2.407,3.0416,37.91,-20.93767
2.406,3.0405,37.92,-20.97056
2.405,3.0393,37.93,-21.00345
2.404,3.0382,37.94,-21.03634
2.403,3.0371,37.95,-21.06923
2.402,3.036,37.96,-21.10212
2.401,3.0349,37.97,-21.13501
2.4,3.0337,37.98,-21.1679
2.399,3.0326,37.99,-21.20079
2.398,3.0315,38,-21.23368
2.397,3.0304,38.01,-21.26657
2.397,3.0292,38.02,-21.29946
2.396,3.0281,38.03,-21.33235
2.395,3.027,38.04,-21.36524
2.394,3.0259,38.05,-21.39813
2.393,3.0248,38.06,-21.43102
2.392,3.0236,38.07,-21.46391
2.391,3.0225,38.08,-21.4968
2.39,3.0214,38.09,-21.52969
2.389,3.0203,38.1,-21.56258
2.388,3.0191,38.11,-21.59547
2.387,3.018,38.12,-21.62836
2.386,3.0169,38.13,-21.66125
2.385,3.0158,38.14,-21.69414
2.384,3.0147,38.15,-21.72703
2.383,3.0135,38.16,-21.75992
2.382,3.0124,38.17,-21.79281
2.381,3.0113,38.18,-21.8257
2.38,3.0102,38.19,-21.85859
2.379,3.009,38.2,-21.89148
2.378,3.0079,38.21,-21.92437
2.377,3.0068,38.22,-21.95726
2.376,3.0057,38.23,-21.99015
2.375,3.0045,38.24,-22.02304
2.374,3.0034,38.25,-22.05593
2.373,3.0023,38.26,-22.08882
2.372,3.0012,38.27,-22.12171
2.371,3.0001,38.28,-22.1546
2.37,2.9989,38.29,-22.18749
2.369,2.9978,38.3,-22.22038
2.368,2.9967,38.31,-22.25327
2.367,2.9956,38.32,-22.28616
2.366,2.9944,38.33,-22.31905
2.366,2.9933,38.34,-22.35194
2.365,2.9922,38.35,-22.38483
2.364,2.9911,38.36,-22.41772
2.363,2.99,38.37,-22.45061
2.362,2.9888,38.38,-22.4835
2.361,2.9877,38.39,-22.51639
2.36,2.9866,38.4,-22.54928
2.359,2.9855,38.41,-22.58217
2.358,2.9843,38.42,-22.61506
2.357,2.9832,38.43,-22.64795
2.356,2.9821,38.44,-22.68084
2.355,2.981,38.45,-22.71373
2.354,2.9799,38.46,-22.74662
2.353,2.9787,38.47,-22.77951
2.352,2.9776,38.48,-22.8124
2.351,2.9765,38.49,-22.84529
2.35,2.9754,38.5,-22.87818
2.349,2.9742,38.51,-22.91107
2.348,2.9731,38.52,-22.94396
2.347,2.972,38.53,-22.97685
2.346,2.9709,38.54,-23.00974
2.345,2.9698,38.55,-23.04263
2.344,2.9686,38.56,-23.07552
2.343,2.9675,38.57,-23.10841
2.342,2.9664,38.58,-23.1413
2.341,2.9653,38.59,-23.17419
2.34,2.9641,38.6,-23.20708
2.339,2.963,38.61,-23.23997
2.338,2.9619,38.62,-23.27286
2.337,2.9608,38.63,-23.30575
2.336,2.9597,38.64,-23.33864
2.335,2.9585,38.65,-23.37153
2.335,2.9574,38.66,-23.40442
2.334,2.9563,38.67,-23.43731
2.333,2.9552,38.68,-23.4702
2.332,2.954,38.69,-23.50309
2.331,2.9529,38.7,-23.53598
2.33,2.9518,38.71,-23.56887
2.329,2.9507,38.72,-23.60176
2.328,2.9496,38.73,-23.63465
2.327,2.9484,38.74,-23.66754
2.326,2.9473,38.75,-23.70043
2.325,2.9462,38.76,-23.73332
2.324,2.9451,38.77,-23.76621
2.323,2.9439,38.78,-23.7991
2.322,2.9428,38.79,-23.83199
2.321,2.9417,38.8,-23.86488
2.32,2.9406,38.81,-23.89777
2.319,2.9395,38.82,-23.93066
2.318,2.9383,38.83,-23.96355
2.317,2.9372,38.84,-23.99644
2.316,2.9361,38.85,-24.02933
2.315,2.935,38.86,-24.06222
2.314,2.9338,38.87,-24.09511
2.313,2.9327,38.88,-24.128
2.312,2.9316,38.89,-24.16089
2.311,2.9305,38.9,-24.19378
2.31,2.9294,38.91,-24.22667
2.309,2.9282,38.92,-24.25956
2.308,2.9271,38.93,-24.29245
2.307,2.926,38.94,-24.32534
2.306,2.9249,38.95,-24.35823
2.305,2.9237,38.96,-24.39112
2.304,2.9226,38.97,-24.42401
2.304,2.9215,38.98,-24.4569
2.303,2.9204,38.99,-24.48979
2.302,2.9193,39,-24.52268
2.301,2.9181,39.01,-24.55557
2.3,2.917,39.02,-24.58846
2.299,2.9159,39.03,-24.62135
2.298,2.9148,39.04,-24.65424
2.297,2.9136,39.05,-24.68713
2.296,2.9125,39.06,-24.72002
2.295,2.9114,39.07,-24.75291
2.294,2.9103,39.08,-24.7858
2.293,2.9091,39.09,-24.81869
2.292,2.908,39.1,-24.85158
2.291,2.9069,39.11,-24.88447
2.29,2.9058,39.12,-24.91736
2.289,2.9047,39.13,-24.95025
2.288,2.9035,39.14,-24.98314
2.287,2.9024,39.15,-25.01603
2.286,2.9013,39.16,-25.04892
2.285,2.9002,39.17,-25.08181
2.284,2.899,39.18,-25.1147
2.283,2.8979,39.19,-25.14759
2.282,2.8968,39.2,-25.18048
2.281,2.8957,39.21,-25.21337
2.28,2.8946,39.22,-25.24626
2.279,2.8934,39.23,-25.27915
2.278,2.8923,39.24,-25.31204
2.277,2.8912,39.25,-25.34493
2.276,2.8901,39.26,-25.37782
2.275,2.8889,39.27,-25.41071
2.274,2.8878,39.28,-25.4436
2.273,2.8867,39.29,-25.47649
2.273,2.8856,39.3,-25.50938
2.272,2.8845,39.31,-25.54227
2.271,2.8833,39.32,-25.57516
2.27,2.8822,39.33,-25.60805
2.269,2.8811,39.34,-25.64094
2.268,2.88,39.35,-25.67383
2.267,2.8788,39.36,-25.70672
2.266,2.8777,39.37,-25.73961
2.265,2.8766,39.38,-25.7725
2.264,2.8755,39.39,-25.80539
2.263,2.8744,39.4,-25.83828
2.262,2.8732,39.41,-25.87117
2.261,2.8721,39.42,-25.90406
2.26,2.871,39.43,-25.93695
2.259,2.8699,39.44,-25.96984
2.258,2.8687,39.45,-26.00273
2.257,2.8676,39.46,-26.03562
2.256,2.8665,39.47,-26.06851
2.255,2.8654,39.48,-26.1014
2.254,2.8643,39.49,-26.13429
2.253,2.8631,39.5,-26.16718
2.252,2.862,39.51,-26.20007
2.251,2.8609,39.52,-26.23296
2.25,2.8598,39.53,-26.26585
2.249,2.8586,39.54,-26.29874
2.248,2.8575,39.55,-26.33163
2.247,2.8564,39.56,-26.36452
2.246,2.8553,39.57,-26.39741
2.245,2.8542,39.58,-26.4303
2.244,2.853,39.59,-26.46319
2.243,2.8519,39.6,-26.49608
2.242,2.8508,39.61,-26.52897
2.242,2.8497,39.62,-26.56186
2.241,2.8485,39.63,-26.59475
2.24,2.8474,39.64,-26.62764
2.239,2.8463,39.65,-26.66053
2.238,2.8452,39.66,-26.69342
2.237,2.8441,39.67,-26.72631
2.236,2.8429,39.68,-26.7592
2.235,2.8418,39.69,-26.79209
2.234,2.8407,39.7,-26.82498
2.233,2.8396,39.71,-26.85787
2.232,2.8384,39.72,-26.89076
2.231,2.8373,39.73,-26.92365
2.23,2.8362,39.74,-26.95654
2.229,2.8351,39.75,-26.98943
2.228,2.834,39.76,-27.02232
2.227,2.8328,39.77,-27.05521
2.226,2.8317,39.78,-27.0881
2.225,2.8306,39.79,-27.12099
2.224,2.8295,39.8,-27.15388
2.223,2.8283,39.81,-27.18677
2.222,2.8272,39.82,-27.21966
2.221,2.8261,39.83,-27.25255
2.22,2.825,39.84,-27.28544
2.219,2.8238,39.85,-27.31833
2.218,2.8227,39.86,-27.35122
2.217,2.8216,39.87,-27.38411
2.216,2.8205,39.88,-27.417
2.215,2.8194,39.89,-27.44989
2.214,2.8182,39.9,-27.48278
2.213,2.8171,39.91,-27.51567
2.212,2.816,39.92,-27.54856
2.211,2.8149,39.93,-27.58145
2.211,2.8137,39.94,-27.61434
2.21,2.8126,39.95,-27.64723
2.209,2.8115,39.96,-27.68012
2.208,2.8104,39.97,-27.71301
2.207,2.8093,39.98,-27.7459
2.206,2.8081,39.99,-27.77879
2.205,2.807,40,-27.81168
2.204,2.8059,40.01,-27.84457
2.203,2.8048,40.02,-27.87746
2.202,2.8036,40.03,-27.91035
2.201,2.8025,40.04,-27.94324
2.2,2.8014,40.05,-27.97613
2.199,2.8003,40.06,-28.00902
2.198,2.7992,40.07,-28.04191
2.197,2.798,40.08,-28.0748
2.196,2.7969,40.09,-28.10769
2.195,2.7958,40.1,-28.14058
2.194,2.7947,40.11,-28.17347
2.193,2.7935,40.12,-28.20636
2.192,2.7924,40.13,-28.23925
2.191,2.7913,40.14,-28.27214
2.19,2.7902,40.15,-28.30503
2.189,2.7891,40.16,-28.33792
2.188,2.7879,40.17,-28.37081
2.187,2.7868,40.18,-28.4037
2.186,2.7857,40.19,-28.43659
2.185,2.7846,40.2,-28.46948
2.184,2.7834,40.21,-28.50237
2.183,2.7823,40.22,-28.53526
2.182,2.7812,40.23,-28.56815
2.181,2.7801,40.24,-28.60104
2.18,2.779,40.25,-28.63393
2.179,2.7778,40.26,-28.66682
2.179,2.7767,40.27,-28.69971
2.178,2.7756,40.28,-28.7326
2.177,2.7745,40.29,-28.76549
2.176,2.7733,40.3,-28.79838
2.175,2.7722,40.31,-28.83127
2.174,2.7711,40.32,-28.86416
2.173,2.77,40.33,-28.89705
2.172,2.7689,40.34,-28.92994
2.171,2.7677,40.35,-28.96283
2.17,2.7666,40.36,-28.99572
2.169,2.7655,40.37,-29.02861
2.168,2.7644,40.38,-29.0615
2.167,2.7632,40.39,-29.09439
2.166,2.7621,40.4,-29.12728
2.165,2.761,40.41,-29.16017
2.164,2.7599,40.42,-29.19306
2.163,2.7588,40.43,-29.22595
2.162,2.7576,40.44,-29.25884
2.161,2.7565,40.45,-29.29173
2.16,2.7554,40.46,-29.32462
2.159,2.7543,40.47,-29.35751
2.158,2.7531,40.48,-29.3904
2.157,2.752,40.49,-29.42329
2.156,2.7509,40.5,-29.45618
2.155,2.7498,40.51,-29.48907
2.154,2.7487,40.52,-29.52196
2.153,2.7475,40.53,-29.55485
2.152,2.7464,40.54,-29.58774
2.151,2.7453,40.55,-29.62063
2.15,2.7442,40.56,-29.65352
2.149,2.743,40.57,-29.68641
2.148,2.7419,40.58,-29.7193
2.148,2.7408,40.59,-29.75219
2.147,2.7397,40.6,-29.78508
2.146,2.7386,40.61,-29.81797
2.145,2.7374,40.62,-29.85086
2.144,2.7363,40.63,-29.88375
2.143,2.7352,40.64,-29.91664
2.142,2.7341,40.65,-29.94953
2.141,2.7329,40.66,-29.98242
2.14,2.7318,40.67,-30.01531
2.139,2.7307,40.68,-30.0482
2.138,2.7296,40.69,-30.08109
2.137,2.7284,40.7,-30.11398
2.136,2.7273,40.71,-30.14687
2.135,2.7262,40.72,-30.17976
2.134,2.7251,40.73,-30.21265
2.133,2.724,40.74,-30.24554
2.132,2.7228,40.75,-30.27843
2.131,2.7217,40.76,-30.31132
2.13,2.7206,40.77,-30.34421
2.129,2.7195,40.78,-30.3771
2.128,2.7183,40.79,-30.40999
2.127,2.7172,40.8,-30.44288
2.126,2.7161,40.81,-30.47577
2.125,2.715,40.82,-30.50866
2.124,2.7139,40.83,-30.54155
2.123,2.7127,40.84,-30.57444
2.122,2.7116,40.85,-30.60733
2.121,2.7105,40.86,-30.64022
2.12,2.7094,40.87,-30.67311
2.119,2.7082,40.88,-30.706
2.118,2.7071,40.89,-30.73889
2.117,2.706,40.9,-30.77178
2.117,2.7049,40.91,-30.80467
2.116,2.7038,40.92,-30.83756
2.115,2.7026,40.93,-30.87045
2.114,2.7015,40.94,-30.90334
2.113,2.7004,40.95,-30.93623
2.112,2.6993,40.96,-30.96912
2.111,2.6981,40.97,-31.00201
2.11,2.697,40.98,-31.0349
2.109,2.6959,40.99,-31.06779
2.108,2.6948,41,-31.10068
2.107,2.6937,41.01,-31.13357
2.106,2.6925,41.02,-31.16646
2.105,2.6914,41.03,-31.19935
2.104,2.6903,41.04,-31.23224
2.103,2.6892,41.05,-31.26513
2.102,2.688,41.06,-31.29802
2.101,2.6869,41.07,-31.33091
2.1,2.6858,41.08,-31.3638
2.099,2.6847,41.09,-31.39669
2.098,2.6836,41.1,-31.42958
2.097,2.6824,41.11,-31.46247
2.096,2.6813,41.12,-31.49536
2.095,2.6802,41.13,-31.52825
2.094,2.6791,41.14,-31.56114
2.093,2.6779,41.15,-31.59403
2.092,2.6768,41.16,-31.62692
2.091,2.6757,41.17,-31.65981
2.09,2.6746,41.18,-31.6927
2.089,2.6735,41.19,-31.72559
2.088,2.6723,41.2,-31.75848
2.087,2.6712,41.21,-31.79137
2.086,2.6701,41.22,-31.82426
2.086,2.669,41.23,-31.85715
2.085,2.6678,41.24,-31.89004
2.084,2.6667,41.25,-31.92293
2.083,2.6656,41.26,-31.95582
2.082,2.6645,41.27,-31.98871
2.081,2.6634,41.28,-32.0216
2.08,2.6622,41.29,-32.05449
2.079,2.6611,41.3,-32.08738
2.078,2.66,41.31,-32.12027
2.077,2.6589,41.32,-32.15316
2.076,2.6577,41.33,-32.18605
2.075,2.6566,41.34,-32.21894
2.074,2.6555,41.35,-32.25183
2.073,2.6544,41.36,-32.28472
2.072,2.6533,41.37,-32.31761
2.071,2.6521,41.38,-32.3505
2.07,2.651,41.39,-32.38339
2.069,2.6499,41.4,-32.41628
2.068,2.6488,41.41,-32.44917
2.067,2.6476,41.42,-32.48206
2.066,2.6465,41.43,-32.51495
2.065,2.6454,41.44,-32.54784
2.064,2.6443,41.45,-32.58073
2.063,2.6432,41.46,-32.61362
2.062,2.642,41.47,-32.64651
2.061,2.6409,41.48,-32.6794
2.06,2.6398,41.49,-32.71229
2.059,2.6387,41.5,-32.74518
2.058,2.6375,41.51,-32.77807
2.057,2.6364,41.52,-32.81096
2.056,2.6353,41.53,-32.84385
2.055,2.6342,41.54,-32.87674
2.055,2.633,41.55,-32.90963
2.054,2.6319,41.56,-32.94252
2.053,2.6308,41.57,-32.97541
2.052,2.6297,41.58,-33.0083
2.051,2.6286,41.59,-33.04119
2.05,2.6274,41.6,-33.07408
2.049,2.6263,41.61,-33.10697
2.048,2.6252,41.62,-33.13986
2.047,2.6241,41.63,-33.17275
2.046,2.6229,41.64,-33.20564
2.045,2.6218,41.65,-33.23853
2.044,2.6207,41.66,-33.27142
2.043,2.6196,41.67,-33.30431
2.042,2.6185,41.68,-33.3372
2.041,2.6173,41.69,-33.37009
2.04,2.6162,41.7,-33.40298
2.039,2.6151,41.71,-33.43587
2.038,2.614,41.72,-33.46876
2.037,2.6128,41.73,-33.50165
2.036,2.6117,41.74,-33.53454
2.035,2.6106,41.75,-33.56743
2.034,2.6095,41.76,-33.60032
2.033,2.6084,41.77,-33.63321
2.032,2.6072,41.78,-33.6661
2.031,2.6061,41.79,-33.69899
2.03,2.605,41.8,-33.73188
2.029,2.6039,41.81,-33.76477
2.028,2.6027,41.82,-33.79766
2.027,2.6016,41.83,-33.83055
2.026,2.6005,41.84,-33.86344
2.025,2.5994,41.85,-33.89633
2.024,2.5983,41.86,-33.92922
2.024,2.5971,41.87,-33.96211
2.023,2.596,41.88,-33.995
2.022,2.5949,41.89,-34.02789
2.021,2.5938,41.9,-34.06078
2.02,2.5926,41.91,-34.09367
2.019,2.5915,41.92,-34.12656
2.018,2.5904,41.93,-34.15945
2.017,2.5893,41.94,-34.19234
2.016,2.5882,41.95,-34.22523
2.015,2.587,41.96,-34.25812
2.014,2.5859,41.97,-34.29101
2.013,2.5848,41.98,-34.3239
2.012,2.5837,41.99,-34.35679
2.011,2.5825,42,-34.38968
2.01,2.5814,42.01,-34.42257
2.009,2.5803,42.02,-34.45546
2.008,2.5792,42.03,-34.48835
2.007,2.5781,42.04,-34.52124
2.006,2.5769,42.05,-34.55413
2.005,2.5758,42.06,-34.58702
2.004,2.5747,42.07,-34.61991
2.003,2.5736,42.08,-34.6528
2.002,2.5724,42.09,-34.68569
2.001,2.5713,42.1,-34.71858
2,2.5702,42.11,-34.75147
1.999,2.5691,42.12,-34.78436
1.998,2.568,42.13,-34.81725
1.997,2.5668,42.14,-34.85014
1.996,2.5657,42.15,-34.88303
1.995,2.5646,42.16,-34.91592
